"areaName","locationAbbr","utmEast","utmNorth","utmZone","defaultTimeZone","activeStart","activeEnd","lureName","visitID"
"Chicago, IL","D08-DAW2",425502,4665194,"16N","America/Chicago",2013-07-01 17:33:00,2013-07-15 17:29:26,"Fatty acid tablet",2379
"Chicago, IL","S07-WGL2",421471,4617014,"16N","America/Chicago",2013-07-01 17:54:00,2013-07-16 17:41:55,"Fatty acid tablet",2513
"Chicago, IL","S07-SAG1",422039,4616369,"16N","America/Chicago",2013-07-01 18:16:00,2013-07-16 18:05:09,"Fatty acid tablet",2507
"Chicago, IL","S07-STJ1",422440,4616686,"16N","America/Chicago",2013-07-01 18:40:00,2013-07-16 18:25:07,"Fatty acid tablet",2510
"Chicago, IL","D07-BEC2",426629,4659103,"16N","America/Chicago",2013-07-01 18:58:00,2013-07-15 18:25:56,"Fatty acid tablet",2388
"Chicago, IL","S06-CBW1",425314,4619769,"16N","America/Chicago",2013-07-01 19:09:00,2013-07-16 18:44:13,"Fatty acid tablet",2516
"Chicago, IL","S05-RES1",431534,4623607,"16N","America/Chicago",2013-07-01 19:37:00,2013-07-16 19:05:11,"Fatty acid tablet",2522
"Chicago, IL","S05-LNC1",429760,4621558,"16N","America/Chicago",2013-07-01 19:53:00,2013-07-16 19:19:29,"Fatty acid tablet",2519
"Chicago, IL","D07-ASC2",426640,4656804,"16N","America/Chicago",2013-07-01 20:05:00,2013-07-15 19:39:52,"Fatty acid tablet",2391
"Chicago, IL","S05-SFP2",428691,4623408,"16N","America/Chicago",2013-07-01 20:10:00,2013-07-16 19:37:32,"Fatty acid tablet",2525
"Chicago, IL","J01-UIC1",446383,4635431,"16N","America/Chicago",2013-07-02 11:32:00,2013-07-15 11:41:56,"Fatty acid tablet",2337
"Chicago, IL","R02-DPG1",441926,4634510,"16N","America/Chicago",2013-07-02 11:56:00,2013-07-15 12:09:03,"Fatty acid tablet",2687
"Chicago, IL","R03-CPG1",435929,4636259,"16N","America/Chicago",2013-07-02 12:37:00,2013-07-15 12:51:35,"Fatty acid tablet",2681
"Chicago, IL","R03-AUP1",436203,4637589,"16N","America/Chicago",2013-07-02 12:53:00,2013-07-15 13:10:36,"Fatty acid tablet",2678
"Chicago, IL","R03-EUC1",434285,4635174,"16N","America/Chicago",2013-07-02 13:11:00,2013-07-15 13:28:51,"Fatty acid tablet",2675
"Chicago, IL","R03-MAP1",433295,4635416,"16N","America/Chicago",2013-07-02 13:24:00,2013-07-15 13:40:53,"Fatty acid tablet",2672
"Chicago, IL","R04-MMW2",430931,4633766,"16N","America/Chicago",2013-07-02 13:47:00,2013-07-15 14:03:45,"Fatty acid tablet",2666
"Chicago, IL","R04-SCH1",429577,4634101,"16N","America/Chicago",2013-07-02 14:04:00,2013-07-15 14:20:01,"Fatty acid tablet",2669
"Chicago, IL","R10-FRM1",395087,4630453,"16N","America/Chicago",2013-07-02 14:08:00,2013-07-16 14:27:52,"Fatty acid tablet",2576
"Chicago, IL","R05-STP1",427869,4637181,"16N","America/Chicago",2013-07-02 14:22:00,2013-07-15 14:32:49,"Fatty acid tablet",2663
"Chicago, IL","R05-GOC1",426715,4634340,"16N","America/Chicago",2013-07-02 14:36:00,2013-07-15 14:46:58,"Fatty acid tablet",2653
"Chicago, IL","R10-FRM2",395829,4632027,"16N","America/Chicago",2013-07-02 14:39:00,2013-07-16 14:06:31,"Fatty acid tablet",2573
"Chicago, IL","R05-FMG1",424224,4633329,"16N","America/Chicago",2013-07-02 14:58:00,2013-07-15 15:07:34,"Fatty acid tablet",2656
"Chicago, IL","R05-MTC1",424431,4635651,"16N","America/Chicago",2013-07-02 15:21:00,2013-07-15 15:36:19,"Fatty acid tablet",2660
"Chicago, IL","R10-WCP3",397958,4638235,"16N","America/Chicago",2013-07-02 15:26:00,2013-07-16 15:06:47,"Fatty acid tablet",2582
"Chicago, IL","R06-YOW1",422550,4634509,"16N","America/Chicago",2013-07-02 15:40:00,2013-07-15 15:54:48,"Fatty acid tablet",2641
"Chicago, IL","R06-SLT1",420847,4635567,"16N","America/Chicago",2013-07-02 16:03:00,2013-07-15 16:17:32,"Fatty acid tablet",2650
"Chicago, IL","R06-SLT2",420606,4636302,"16N","America/Chicago",2013-07-02 16:23:00,2013-07-15 16:34:16,"Fatty acid tablet",2647
"Chicago, IL","R09-BLW1",404784,4635214,"16N","America/Chicago",2013-07-02 17:08:00,2013-07-16 16:47:41,"Fatty acid tablet",2585
"Chicago, IL","R02-FRP1",439183,4634676,"16N","America/Chicago",2013-07-02 17:13:00,2013-07-15 17:23:00,"Fatty acid tablet",2684
"Chicago, IL","R06-OTB1",418834,4633860,"16N","America/Chicago",2013-07-02 17:29:00,2013-07-15 17:40:09,"Fatty acid tablet",2644
"Chicago, IL","R09-LIM2",406803,4636071,"16N","America/Chicago",2013-07-02 17:38:00,2013-07-16 17:38:38,"Fatty acid tablet",2611
"Chicago, IL","R07-YHR1",417861,4635347,"16N","America/Chicago",2013-07-02 17:49:00,2013-07-15 17:55:13,"Fatty acid tablet",2638
"Chicago, IL","R07-MMP1",416773,4636279,"16N","America/Chicago",2013-07-02 18:04:00,2013-07-15 18:08:00,"Fatty acid tablet",2632
"Chicago, IL","R09-SMI1",407666,4634032,"16N","America/Chicago",2013-07-02 18:32:00,2013-07-16 18:01:47,"Fatty acid tablet",2614
"Chicago, IL","R08-DAP1",410451,4636475,"16N","America/Chicago",2013-07-02 18:54:00,2013-07-16 18:20:57,"Fatty acid tablet",2620
"Chicago, IL","R08-PAP1",412095,4634351,"16N","America/Chicago",2013-07-02 19:15:00,2013-07-16 19:24:18,"Fatty acid tablet",2623
"Chicago, IL","R08-VLG1",411104,4633916,"16N","America/Chicago",2013-07-02 19:29:00,2013-07-16 19:08:30,"Fatty acid tablet",2617
"Chicago, IL","R08-WBK1",411883,4632753,"16N","America/Chicago",2013-07-02 19:49:00,2013-07-16 18:52:57,"Fatty acid tablet",2626
"Chicago, IL","R07-GOF1",413527,4635414,"16N","America/Chicago",2013-07-02 20:40:00,2013-07-16 19:41:57,"Fatty acid tablet",2635
"Chicago, IL","R10-WDW1",401055,4635576,"16N","America/Chicago",2013-07-02 21:02:00,2013-07-16 20:34:00,"Fatty acid tablet",2579
"Chicago, IL","R07-FSP1",415139,4633726,"16N","America/Chicago",2013-07-02 21:13:00,2013-07-16 20:07:08,"Fatty acid tablet",2629
"Chicago, IL","J01-LMP1",449308,4631876,"16N","America/Chicago",2013-07-03 11:56:00,2013-07-17 12:04:03,"Fatty acid tablet",2346
"Chicago, IL","S02-BNS1",450739,4629074,"16N","America/Chicago",2013-07-03 12:11:00,2013-07-17 12:18:28,"Fatty acid tablet",2570
"Chicago, IL","S03-JKP2",451796,4626151,"16N","America/Chicago",2013-07-03 12:30:00,2013-07-17 12:36:53,"Fatty acid tablet",2550
"Chicago, IL","D02-SCP1",443127,4641452,"16N","America/Chicago",2013-07-03 12:37:00,2013-07-17 12:39:52,"Fatty acid tablet",2474
"Chicago, IL","D02-HUP1",441984,4639557,"16N","America/Chicago",2013-07-03 12:55:00,2013-07-17 12:57:58,"Fatty acid tablet",2468
"Chicago, IL","S03-JKP1",451553,4625766,"16N","America/Chicago",2013-07-03 13:06:00,2013-07-17 13:02:09,"Fatty acid tablet",2553
"Chicago, IL","D02-MOP1",439938,4640991,"16N","America/Chicago",2013-07-03 13:13:00,2013-07-17 13:17:45,"Fatty acid tablet",2471
"Chicago, IL","J01-BBS1",449319,4633118,"16N","America/Chicago",2013-07-03 13:22:00,2013-07-17 13:22:38,"Fatty acid tablet",2349
"Chicago, IL","D02-RCP1",442530,4643467,"16N","America/Chicago",2013-07-03 13:55:00,2013-07-17 13:45:15,"Fatty acid tablet",2465
"Chicago, IL","S02-MCP1",443849,4630690,"16N","America/Chicago",2013-07-03 14:05:00,2013-07-17 14:04:43,"Fatty acid tablet",2564
"Chicago, IL","D03-AFP1",440609,4644105,"16N","America/Chicago",2013-07-03 14:10:00,2013-07-17 14:09:31,"Fatty acid tablet",2450
"Chicago, IL","S02-BRI1",442042,4631036,"16N","America/Chicago",2013-07-03 14:18:00,2013-07-17 14:17:48,"Fatty acid tablet",2561
"Chicago, IL","D03-CHP1",436807,4643667,"16N","America/Chicago",2013-07-03 14:43:00,2013-07-17 14:40:44,"Fatty acid tablet",2447
"Chicago, IL","S03-WAP1",440288,4629118,"16N","America/Chicago",2013-07-03 14:54:00,2013-07-17 15:02:41,"Fatty acid tablet",2547
"Chicago, IL","D03-AMP1",438005,4646551,"16N","America/Chicago",2013-07-03 15:20:00,2013-07-17 15:24:37,"Fatty acid tablet",2453
"Chicago, IL","S03-VIP1",437876,4628109,"16N","America/Chicago",2013-07-03 15:34:00,2013-07-17 15:38:32,"Fatty acid tablet",2538
"Chicago, IL","D04-FGP1",437490,4647531,"16N","America/Chicago",2013-07-03 15:37:00,2013-07-17 16:02:09,"Fatty acid tablet",2412
"Chicago, IL","S03-LCP1",437635,4629399,"16N","America/Chicago",2013-07-03 15:47:00,2013-07-17 15:53:13,"Fatty acid tablet",2544
"Chicago, IL","D03-GOM1",439467,4647289,"16N","America/Chicago",2013-07-03 15:52:00,2013-07-17 15:47:25,"Fatty acid tablet",2444
"Chicago, IL","S04-HAP1",435234,4625682,"16N","America/Chicago",2013-07-03 16:02:00,2013-07-17 16:15:18,"Fatty acid tablet",2528
"Chicago, IL","D05-MIA1",434129,4652772,"16N","America/Chicago",2013-07-03 16:25:00,2013-07-15 20:43:45,"Fatty acid tablet",2406
"Chicago, IL","D05-ADC1",433486,4651062,"16N","America/Chicago",2013-07-03 17:02:00,2013-07-17 16:42:44,"Fatty acid tablet",2403
"Chicago, IL","S04-SSP1",433760,4627804,"16N","America/Chicago",2013-07-03 17:02:00,2013-07-17 16:41:29,"Fatty acid tablet",2531
"Chicago, IL","S04-OTW1",433244,4629563,"16N","America/Chicago",2013-07-03 17:14:00,2013-07-17 17:13:52,"Fatty acid tablet",2535
"Chicago, IL","J01-SKP1",445154,4636654,"16N","America/Chicago",2013-07-03 17:56:00,2013-07-17 17:56:26,"Fatty acid tablet",2343
"Chicago, IL","J01-SEP1",446999,4639027,"16N","America/Chicago",2013-07-03 18:18:00,2013-07-17 18:21:33,"Fatty acid tablet",2340
"Chicago, IL","J01-CLP1",445913,4640354,"16N","America/Chicago",2013-07-03 18:28:00,2013-07-17 18:33:40,"Fatty acid tablet",2352
"Chicago, IL","D04-EVC1",436420,4649014,"16N","America/Chicago",2013-07-03 18:46:00,2013-07-17 16:26:17,"Fatty acid tablet",2415
"Chicago, IL","D04-EDW3",436665,4649055,"16N","America/Chicago",2013-07-03 19:14:00,2013-07-17 16:15:42,"Fatty acid tablet",2418
"Chicago, IL","D04-RDP1",434928,4648923,"16N","America/Chicago",2013-07-03 19:32:00,2013-07-18 19:57:36,"Fatty acid tablet",2409
"Chicago, IL","D04-DNP1",435016,4646204,"16N","America/Chicago",2013-07-03 19:52:00,2013-07-18 20:19:07,"Fatty acid tablet",2438
"Chicago, IL","D03-MFP1",438554,4645949,"16N","America/Chicago",2013-07-03 20:07:00,2013-07-17 20:10:00,"Fatty acid tablet",2441
"Chicago, IL","D02-MBS2",447546,4645939,"16N","America/Chicago",2013-07-03 21:12:00,2013-07-19 14:50:57,"Fatty acid tablet",2462
"Chicago, IL","D05-BRP1",433167,4651141,"16N","America/Chicago",2013-07-03 21:41:00,2013-07-17 21:58:00,"Fatty acid tablet",2400
"Chicago, IL","D07-NOC1",427273,4660625,"16N","America/Chicago",2013-07-15 05:00:00,2013-07-29 05:00:00,"Fatty acid tablet",2386
"Chicago, IL","D06-KCG1",429421,4658994,"16N","America/Chicago",2013-07-15 07:10:00,2013-07-16 06:13:08,"Fatty acid tablet",2395
"Chicago, IL","J01-UIC1",446383,4635431,"16N","America/Chicago",2013-07-15 11:45:00,2013-07-30 11:32:18,"Fatty acid tablet",2338
"Chicago, IL","R02-DPG1",441926,4634510,"16N","America/Chicago",2013-07-15 12:10:00,2013-07-30 11:53:16,"Fatty acid tablet",2688
"Chicago, IL","R02-FRP1",439183,4634676,"16N","America/Chicago",2013-07-15 12:30:00,2013-07-30 12:11:06,"Fatty acid tablet",2685
"Chicago, IL","R03-CPG1",435929,4636259,"16N","America/Chicago",2013-07-15 12:55:00,2013-07-30 12:28:09,"Fatty acid tablet",2682
"Chicago, IL","R03-AUP1",436203,4637589,"16N","America/Chicago",2013-07-15 13:12:00,2013-07-30 12:42:36,"Fatty acid tablet",2679
"Chicago, IL","R03-EUC1",434285,4635174,"16N","America/Chicago",2013-07-15 13:30:00,2013-07-30 12:59:16,"Fatty acid tablet",2676
"Chicago, IL","D10-MAC1",423491,4678479,"16N","America/Chicago",2013-07-15 13:56:00,2013-07-31 14:02:10,"Fatty acid tablet",2365
"Chicago, IL","R04-MMW2",430931,4633766,"16N","America/Chicago",2013-07-15 14:05:00,2013-07-30 13:28:01,"Fatty acid tablet",2667
"Chicago, IL","D10-CAN1",422570,4676856,"16N","America/Chicago",2013-07-15 14:17:00,2013-07-31 14:16:48,"Fatty acid tablet",2356
"Chicago, IL","R04-SCH1",429577,4634101,"16N","America/Chicago",2013-07-15 14:21:00,2013-07-30 13:44:23,"Fatty acid tablet",2670
"Chicago, IL","R05-STP1",427869,4637181,"16N","America/Chicago",2013-07-15 14:35:00,2013-07-30 13:56:32,"Fatty acid tablet",2664
"Chicago, IL","D10-VHC1",421816,4674934,"16N","America/Chicago",2013-07-15 14:41:00,2013-07-31 14:43:53,"Fatty acid tablet",2362
"Chicago, IL","R05-GOC1",426715,4634340,"16N","America/Chicago",2013-07-15 14:48:00,2013-07-30 14:08:04,"Fatty acid tablet",2654
"Chicago, IL","D09-VTC1",423286,4672819,"16N","America/Chicago",2013-07-15 15:00:00,2013-07-31 15:01:44,"Fatty acid tablet",2359
"Chicago, IL","R05-FMG1",424224,4633329,"16N","America/Chicago",2013-07-15 15:09:00,2013-07-30 14:25:59,"Fatty acid tablet",2657
"Chicago, IL","D09-RYW1",425325,4669890,"16N","America/Chicago",2013-07-15 15:34:00,2013-07-31 15:21:16,"Fatty acid tablet",2368
"Chicago, IL","R05-MTC1",424431,4635651,"16N","America/Chicago",2013-07-15 15:37:00,2013-07-30 14:45:56,"Fatty acid tablet",2661
"Chicago, IL","R06-YOW1",422550,4634509,"16N","America/Chicago",2013-07-15 15:56:00,2013-07-30 15:05:13,"Fatty acid tablet",2642
"Chicago, IL","D09-CLG1",424348,4670718,"16N","America/Chicago",2013-07-15 16:04:00,2013-07-31 16:07:32,"Fatty acid tablet",2374
"Chicago, IL","R06-SLT1",420847,4635567,"16N","America/Chicago",2013-07-15 16:18:00,2013-07-30 15:22:33,"Fatty acid tablet",2651
"Chicago, IL","R06-SLT2",420606,4636302,"16N","America/Chicago",2013-07-15 16:35:00,2013-07-30 15:35:36,"Fatty acid tablet",2648
"Chicago, IL","D08-CCC1",423792,4667808,"16N","America/Chicago",2013-07-15 16:40:00,2013-07-31 18:09:18,"Fatty acid tablet",2377
"Chicago, IL","D08-DAW2",425502,4665194,"16N","America/Chicago",2013-07-15 17:30:00,2013-07-31 18:46:23,"Fatty acid tablet",2380
"Chicago, IL","R06-OTB1",418834,4633860,"16N","America/Chicago",2013-07-15 17:41:00,2013-07-30 15:48:19,"Fatty acid tablet",2645
"Chicago, IL","R07-YHR1",417861,4635347,"16N","America/Chicago",2013-07-15 17:57:00,2013-07-30 16:01:27,"Fatty acid tablet",2639
"Chicago, IL","R07-MMP1",416773,4636279,"16N","America/Chicago",2013-07-15 18:10:00,2013-07-30 16:14:55,"Fatty acid tablet",2633
"Chicago, IL","D07-BEC2",426629,4659103,"16N","America/Chicago",2013-07-15 18:26:00,2013-07-31 19:50:17,"Fatty acid tablet",2389
"Chicago, IL","D07-ASC2",426640,4656804,"16N","America/Chicago",2013-07-15 19:40:00,2013-07-31 20:13:46,"Fatty acid tablet",2392
"Chicago, IL","D05-MIA1",434129,4652772,"16N","America/Chicago",2013-07-15 20:49:00,2013-07-29 18:06:26,"Fatty acid tablet",2407
"Chicago, IL","S10-LPC1",412640,4604963,"16N","America/Chicago",2013-07-16 13:24:00,2013-07-29 13:19:26,"Fatty acid tablet",2478
"Chicago, IL","S10-LPP2",410631,4604024,"16N","America/Chicago",2013-07-16 13:47:00,2013-07-29 13:54:12,"Fatty acid tablet",2481
"Chicago, IL","R10-FRM2",395829,4632027,"16N","America/Chicago",2013-07-16 14:10:00,2013-07-30 14:56:51,"Fatty acid tablet",2574
"Chicago, IL","S10-LEW1",410239,4605858,"16N","America/Chicago",2013-07-16 14:12:00,2013-07-29 14:20:31,"Fatty acid tablet",2484
"Chicago, IL","R10-FRM1",395087,4630453,"16N","America/Chicago",2013-07-16 14:29:00,2013-07-30 14:35:05,"Fatty acid tablet",2577
"Chicago, IL","S10-ILC1",410942,4610112,"16N","America/Chicago",2013-07-16 14:36:00,2013-07-29 14:41:45,"Fatty acid tablet",2487
"Chicago, IL","S09-ILC1",410923,4610519,"16N","America/Chicago",2013-07-16 14:51:00,2013-07-29 14:54:33,"Fatty acid tablet",2496
"Chicago, IL","R10-WCP3",397958,4638235,"16N","America/Chicago",2013-07-16 15:08:00,2013-07-30 15:40:45,"Fatty acid tablet",2583
"Chicago, IL","S09-VTW2",411772,4613771,"16N","America/Chicago",2013-07-16 15:09:00,2013-07-29 15:19:56,"Fatty acid tablet",2499
"Chicago, IL","S09-KTP1",413952,4614568,"16N","America/Chicago",2013-07-16 15:27:00,2013-07-29 15:34:16,"Fatty acid tablet",2490
"Chicago, IL","R10-WDW1",401055,4635576,"16N","America/Chicago",2013-07-16 15:40:00,2013-07-30 16:04:27,"Fatty acid tablet",2580
"Chicago, IL","S09-SMC1",415686,4612193,"16N","America/Chicago",2013-07-16 15:47:00,2013-07-29 15:51:43,"Fatty acid tablet",2493
"Chicago, IL","S08-WGL2",417471,4616052,"16N","America/Chicago",2013-07-16 16:47:00,2013-07-29 16:52:59,"Fatty acid tablet",2502
"Chicago, IL","R09-BLW1",404784,4635214,"16N","America/Chicago",2013-07-16 16:50:00,2013-07-30 16:56:42,"Fatty acid tablet",2586
"Chicago, IL","S08-WGL1",416857,4616262,"16N","America/Chicago",2013-07-16 17:10:00,2013-07-29 17:16:35,"Fatty acid tablet",2505
"Chicago, IL","R09-LIM2",406803,4636071,"16N","America/Chicago",2013-07-16 17:42:00,2013-07-30 17:18:10,"Fatty acid tablet",2612
"Chicago, IL","S07-WGL2",421471,4617014,"16N","America/Chicago",2013-07-16 17:43:00,2013-07-29 17:46:41,"Fatty acid tablet",2514
"Chicago, IL","R09-SMI1",407666,4634032,"16N","America/Chicago",2013-07-16 18:03:00,2013-07-30 17:37:13,"Fatty acid tablet",2615
"Chicago, IL","S07-SAG1",422039,4616369,"16N","America/Chicago",2013-07-16 18:06:00,2013-07-29 18:09:14,"Fatty acid tablet",2508
"Chicago, IL","R08-DAP1",410451,4636475,"16N","America/Chicago",2013-07-16 18:23:00,2013-07-30 17:52:54,"Fatty acid tablet",2621
"Chicago, IL","S07-STJ1",422440,4616686,"16N","America/Chicago",2013-07-16 18:25:00,2013-07-29 18:25:19,"Fatty acid tablet",2511
"Chicago, IL","S06-CBW1",425314,4619769,"16N","America/Chicago",2013-07-16 18:45:00,2013-07-29 18:41:53,"Fatty acid tablet",2517
"Chicago, IL","R08-WBK1",411883,4632753,"16N","America/Chicago",2013-07-16 18:55:00,2013-08-07 15:03:14,"Fatty acid tablet",2627
"Chicago, IL","S05-RES1",431534,4623607,"16N","America/Chicago",2013-07-16 19:06:00,2013-07-29 18:58:20,"Fatty acid tablet",2523
"Chicago, IL","R08-VLG1",411104,4633916,"16N","America/Chicago",2013-07-16 19:10:00,2013-08-07 15:38:58,"Fatty acid tablet",2618
"Chicago, IL","S05-LNC1",429760,4621558,"16N","America/Chicago",2013-07-16 19:20:00,2013-07-29 19:13:47,"Fatty acid tablet",2520
"Chicago, IL","R08-PAP1",412095,4634351,"16N","America/Chicago",2013-07-16 19:25:00,2013-08-07 15:57:44,"Fatty acid tablet",2624
"Chicago, IL","S05-SFP2",428691,4623408,"16N","America/Chicago",2013-07-16 19:39:00,2013-07-29 19:28:13,"Fatty acid tablet",2526
"Chicago, IL","R07-GOF1",413527,4635414,"16N","America/Chicago",2013-07-16 19:44:00,2013-08-07 16:13:38,"Fatty acid tablet",2636
"Chicago, IL","R07-FSP1",415139,4633726,"16N","America/Chicago",2013-07-16 20:08:00,2013-08-07 16:38:09,"Fatty acid tablet",2630
"Chicago, IL","J01-LMP1",449308,4631876,"16N","America/Chicago",2013-07-17 12:04:00,2013-07-31 12:23:26,"Fatty acid tablet",2347
"Chicago, IL","S02-BNS1",450739,4629074,"16N","America/Chicago",2013-07-17 12:19:00,2013-07-31 12:34:35,"Fatty acid tablet",2571
"Chicago, IL","S03-JKP2",451796,4626151,"16N","America/Chicago",2013-07-17 12:37:00,2013-07-31 12:48:21,"Fatty acid tablet",2551
"Chicago, IL","D02-SCP1",443127,4641452,"16N","America/Chicago",2013-07-17 12:42:00,2013-07-29 13:38:07,"Fatty acid tablet",2475
"Chicago, IL","D02-HUP1",441984,4639557,"16N","America/Chicago",2013-07-17 13:00:00,2013-07-26 02:42:50,"Fatty acid tablet",2469
"Chicago, IL","S03-JKP1",451553,4625766,"16N","America/Chicago",2013-07-17 13:05:00,2013-07-31 13:12:14,"Fatty acid tablet",2554
"Chicago, IL","D02-MOP1",439938,4640991,"16N","America/Chicago",2013-07-17 13:20:00,2013-07-29 14:13:15,"Fatty acid tablet",2472
"Chicago, IL","J01-BBS1",449319,4633118,"16N","America/Chicago",2013-07-17 13:24:00,2013-07-31 13:31:38,"Fatty acid tablet",2350
"Chicago, IL","D02-RCP1",442530,4643467,"16N","America/Chicago",2013-07-17 13:47:00,2013-07-29 14:36:32,"Fatty acid tablet",2466
"Chicago, IL","S02-MCP1",443849,4630690,"16N","America/Chicago",2013-07-17 14:05:00,2013-07-23 19:12:37,"Fatty acid tablet",2565
"Chicago, IL","D03-AFP1",440609,4644105,"16N","America/Chicago",2013-07-17 14:11:00,2013-07-29 14:53:28,"Fatty acid tablet",2451
"Chicago, IL","S02-BRI1",442042,4631036,"16N","America/Chicago",2013-07-17 14:19:00,2013-07-31 14:16:26,"Fatty acid tablet",2562
"Chicago, IL","S02-PIP1",439385,4631521,"16N","America/Chicago",2013-07-17 14:40:00,2013-07-31 14:35:32,"Fatty acid tablet",2558
"Chicago, IL","D03-CHP1",436807,4643667,"16N","America/Chicago",2013-07-17 14:43:00,2013-07-29 15:16:52,"Fatty acid tablet",2448
"Chicago, IL","S03-WAP1",440288,4629118,"16N","America/Chicago",2013-07-17 15:03:00,2013-07-31 14:58:54,"Fatty acid tablet",2548
"Chicago, IL","D03-MFP1",438554,4645949,"16N","America/Chicago",2013-07-17 15:11:00,2013-07-29 15:32:07,"Fatty acid tablet",2442
"Chicago, IL","D03-AMP1",438005,4646551,"16N","America/Chicago",2013-07-17 15:26:00,2013-07-29 15:42:30,"Fatty acid tablet",2454
"Chicago, IL","S03-VIP1",437876,4628109,"16N","America/Chicago",2013-07-17 15:40:00,2013-07-31 15:37:26,"Fatty acid tablet",2539
"Chicago, IL","D03-GOM1",439467,4647289,"16N","America/Chicago",2013-07-17 15:48:00,2013-07-28 00:24:07,"Fatty acid tablet",2445
"Chicago, IL","S03-LCP1",437635,4629399,"16N","America/Chicago",2013-07-17 15:54:00,2013-07-31 15:50:56,"Fatty acid tablet",2545
"Chicago, IL","D04-FGP1",437490,4647531,"16N","America/Chicago",2013-07-17 16:03:00,2013-07-29 16:15:27,"Fatty acid tablet",2413
